Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2026-03-28 19:08:59,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7443735910095085568,"I had to tell a department head last month that we couldn’t deliver what they were asking for on the timeline they wanted.""
""""
""They needed a new site stood up with full redundancy in three weeks. The timeline was tied to a lease signing and they’d already committed to the date with their leadership.""
""""
""We could have said yes. We could have cut corners, skipped testing, and pushed something out the door. But it wouldn’t have been stable, and when it broke, we’d own that too.""
""""
""So I said no. Not to the project, but to the timeline. I explained what we could deliver in three weeks and what we’d need another month for if they wanted it done right.""
""""
""It was uncomfortable. They weren’t happy. But they adjusted the lease timeline and we delivered something that actually worked.""
""""
""Saying no up front and being clear about what we could actually deliver took pressure off the team. They had a timeline they could meet instead of one they were set up to miss.""
""""
""I’ve learned this the hard way. Saying yes when you should say no doesn’t make you helpful. It makes you the person who overpromises and underdelivers.""
""""
""What we try to do now is be clear about what’s possible and what’s not before we commit. It’s easier to negotiate a realistic timeline up front than to explain why you missed an unrealistic one later.""
""""
""Saying no doesn’t mean being a blocker. It means being honest about what you can actually deliver.""
""""
""How does your team handle requests that aren’t realistic without just becoming the team that always says no?","","",MEMBER_NETWORK
2026-03-25 02:10:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7442392365291618304,"The cuts were perfect. The glue held. And I still had to take the whole thing apart because I wasn't paying attention when I assembled it.""
""""
""I was gluing leg supports and had everything laid out. The cuts were right, the sanding was done, and I was ready to assemble. I worked through each joint carefully, clamped everything tight, and let it cure.""
""When I slid the two pieces together, one set of legs pointed down. The other set pointed up.""
""""
""I'd glued one of the braces on backwards. Not because I didn't know which way it should go. Because I wasn't paying attention when it mattered.""
""The wood was fine. The joinery was solid. But I built it wrong because I was on autopilot.""
""""
""I see this happen in IT more than I want to admit.""
""We provision a new account and copy the wrong template. We configure a device and flip a setting without reading what it actually does. We run a script in production that we meant to test in staging first.""
""""
""The steps are right. The process is clear. But we're moving fast or distracted or both, and we don't catch the mistake until it's already done.""
""I still do this. The work feels routine so your brain checks out, and that's exactly when you make the mistake that costs you time.""
""""
""The habit I'm trying to build is slowing down for two seconds before the irreversible step. Glue, deploy, delete, send. Just long enough to confirm I'm doing what I think I'm doing.""
""What does your team do to catch mistakes that happen when the work feels routine?","","",MEMBER_NETWORK
2026-03-23 17:37:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7441901018935889921,"The first thing I do when I start with a new team is listen for some time before I change anything.""
""""
""I took over a network team a few years ago and the instinct was strong to start fixing things right away. There were obvious gaps. Processes that didn’t make sense. Tools that seemed outdated.""
""""
""But I didn’t know the context yet. I didn’t know why things were the way they were or what had already been tried.""
""""
""So I spent the first few weeks in one-on-ones and sitting in on their daily work. I asked questions. I watched how they handled tickets, how they communicated during issues, what frustrated them.""
""""
""By the end of that time I had a much clearer picture. Some of the things I thought were problems were actually workarounds for constraints I didn’t know existed. And some of the real problems weren’t the ones I would have guessed.""
""""
""The changes we made after that landed better because the team knew I’d listened first.""
""""
""I still have to remind myself of this. When you’re new or when you’re trying to prove yourself, the pressure to move fast is real. But rushing past the listening part usually means you fix the wrong things.""
""""
""The habit I keep coming back to is simple. Some time asking questions before jumping to answers.""
""""
""When you join a new team, how do you figure out what actually needs to change versus what just looks broken from the outside?","","",MEMBER_NETWORK
2026-03-19 11:33:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7440359791526395904,"A miter saw cuts fast, but only if the fence is square.""
""""
""I was cutting trim pieces last weekend for a small project. Ten cuts, all at 45 degrees, all supposed to match. I didn’t check the fence before I started. It looked square, and I wanted to get moving.""
""By the fifth piece I could see the angles weren’t lining up. I checked the fence. It was off by half a degree. Not much, but enough that nothing fit together cleanly.""
""""
""I had to recut everything. The saw did exactly what I told it to. The setup was the problem.""
""I see this happen in IT when we’re moving fast.""
""We deploy a new tool without setting the baseline config first. We onboard a new team member using last quarter’s process because no one updated the documentation. We build automation on top of a workflow that was never standardized to begin with.""
""""
""The work gets done quickly. But if the foundation isn’t square, the output won’t be either. And you won’t notice until you try to put the pieces together.""
""""
""I still rush the setup sometimes. It’s hard to slow down when you just want to start cutting.""
""""
""The habit I’m working on is checking the baseline before I run the process. Takes two minutes. Saves having to redo the work later.""
""""
""What’s one place where your team checks the setup before running the process?","","",MEMBER_NETWORK
2026-03-16 02:46:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7439140007153655808,"Three active firewall rules. No documentation. No owner. No idea what would break if we removed them.""
""""
""We found them last month during a routine audit. They were there. They were active. But no tickets referenced them, no documentation covered them, and the person who added them had left the team two years ago.""
""""
""We spent half a day tracking down what they were for before we felt safe enough to touch them. Turns out two were for a project that had been decommissioned. The third was still needed, but we only figured that out by spending even more time on research. ""
""""
""Exceptions happen. A temporary rule for a vendor demo. A one-off port opening for a contractor. A quick bypass to unblock someone during an outage.""
""""
""The problem isn’t that we make exceptions. The problem is we don’t document them the same way we document everything else.""
""I’ve been guilty of this more times than I want to admit. You make the change, it works, and you move on. Documenting it feels like extra work when the fire is out.""
""""
""What we do now is simple. Every exception gets a ticket and a note in the change log with an expiration date. Even if it’s supposed to be temporary. Especially if it’s supposed to be temporary.""
""""
""Because undocumented exceptions don’t stay exceptions. They become landmines.""
""How does your team make sure temporary fixes don’t turn into permanent mysteries?","","",MEMBER_NETWORK
2026-03-12 03:02:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7437694535620620288,"Sandpaper only works if you let it do the work.""
""""
""I was smoothing a tabletop last weekend and got impatient. The grain was rough and I wanted it done, so I started pressing harder. More pressure, faster results, right?""
""""
""Wrong. The paper clogged, the surface got uneven, and I ended up with burn marks I had to sand out all over again.""
""""
""Sandpaper works by cutting a little bit at a time. When you force it, you just create more problems.""
""""
""I see this pattern show up in IT all the time.""
""""
""A project is behind so we add more people mid-stream. A process isn't working so we add more steps instead of fixing the broken ones. A system is slow so we throw more resources at it without understanding why it's struggling.""
""""
""It feels productive. But pressure without clarity just creates friction.""
""I've done this more times than I want to admit. The instinct when something isn't moving fast enough is to push harder. But that's usually when you need to back off and check what's actually happening.""
""""
""What we try to do now is pause and ask one question when progress stalls. Are we stuck because we need more force, or because something in the approach isn't working?""
""""
""How does your team tell the difference between needing to push harder and needing to change the approach?","","",MEMBER_NETWORK
2026-03-10 01:30:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7436946436149116928,"I spent the afternoon on Saturday volunteering with my family at a charity that we’ve been a part of for the last 24 years. ""
""""
""ReRUNS R Fun is the nation’s largest non-profit consignment sale for children, teens, and women. Located in LaVista, Nebraska, ReRUNS hosts resale events twice a year. All profits from the sales events are donated to charities in our community and around the world.""
""""
""Back when we were scrounging in the couch cushions looking for loose change so we could afford groceries, ReRUNS helped us afford to buy clothes and toys for our children. My wife has worked at every sale and has made so many friends there. From an unwilling participant, I now look forward to the time that I get to give back and help those that need things when couch nickles don’t buy what they used to. ""
""""
""One of our tasks this weekend was to organize all of the board games, which we have been doing for the last several sales. ""
""""
""How does this relate to my previous posts about networking and business? It doesn’t. Volunteering is just good for the soul.","","",MEMBER_NETWORK
2026-03-06 04:43:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7435545448456601600,"The first cut on a table saw is the one that matters most.""
""""
""Not because it’s the hardest. Because it sets the reference for every cut that follows.""
""""
""I was ripping boards for a bookshelf a few weeks ago and rushed the first pass. The fence was close enough, the blade looked square, and I wanted to get moving. Three boards in I noticed they weren’t lining up right. I checked the fence. It was off by an eighth of an inch.""
""""
""Every board I’d cut was wrong by the same amount. I had to start over.""
""""
""I think about that when we’re setting up new systems or processes at work.""
""""
""The first user you provision sets the pattern for how accounts get created. The first ticket template becomes the standard everyone copies. The first time you let a workaround slide, it becomes the way things are done.""
""If the reference is off at the start, everything that follows will be off too. And you won’t notice until you’re three boards in and nothing lines up.""
""""
""I still rush this sometimes. It’s hard to slow down at the beginning when you just want to get things moving.""
""""
""The habit I’m building is checking the setup twice before I make the first cut. It takes an extra two minutes. It saves hours later.""
""""
""What’s one place where your team sets the reference, and how do you make sure it’s right from the start?","","",MEMBER_NETWORK
2026-03-03 00:35:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7434395892381773825,"The carrier delayed the circuit by three weeks. We delayed telling anyone by two. Guess which one caused more problems.""
""""
""We had a new office coming online and the carrier pushed the install date back three weeks. Not ideal, but it happens. Circuits get delayed. Permitting runs long. Someone misses a window.""
""""
""The real issue was that we didn’t tell the business unit until five days before the original go-live date. They had people scheduled to move in, equipment ordered, onboarding planned. And suddenly they had to scramble to set everyone up for WFH while we waited for the line to get installed.""
""""
""The delay cost us three weeks. The late communication cost us trust.""
""I’ve learned this the hard way. When something slips, the instinct is to wait until you have a fix before you say anything. You don’t want to sound the alarm if it might still work out. But that leaves everyone else without time to adapt.""
""""
""What we do now is simple. If a timeline is at risk, we say it as soon as we know. Even if we don’t have the solution yet. Even if it might still land on time.""
""""
""Bad news early is better than bad news late. The business can work with three weeks of notice. They can’t work with five days.""
""""
""How does your team decide when to escalate a delay versus when to wait and see if you can fix it first?","","",MEMBER_NETWORK
2026-02-22 03:30:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7431178445033750528,"You can't rush glue.""
""""
""I learned that trying to assemble a small cabinet last month. I had the joints cut, everything fit tight, and I was ready to move on to the next step. So I clamped it up, gave it maybe 40 minutes, and started working the face flush with a hand plane.""
""""
""The joint opened. Not much, but enough that I couldn't fix it without taking the whole thing apart and starting over.""
""""
""The glue needed an hour. I gave it 40 minutes because I wanted to keep moving.""
""""
""I see the same thing happen with changes in IT.""
""""
""We push a patch because the window is closing and we want it done. We move someone into a new role before the handoff is really finished because we need the seat filled. We say a process is ready because we tested it once and it mostly worked.""
""""
""It feels like progress. But if the foundation isn't set, you end up going backward.""
""""
""I still catch myself doing this. The pull to keep moving is strong, especially when you've got momentum or pressure or both.""
""""
""The habit I'm trying to build is asking one question before I move on. Is this actually done, or does it just feel done because I'm tired of waiting?""
""""
""What helps you know when something is ready versus when you just want it to be ready?","","",MEMBER_NETWORK
